name,desc,img,date,long,lat
Battle of Berlin,Soviet offensive and capture of the German capital,https://upload.wikimedia.org/wikipedia/commons/b/b1/Raising_a_flag_over_the_Reichstag_-_Restoration.jpg,02/05/1945,52.5186,13.3762
Assassination of Archduke Franz Ferdinand,Assassination leading to World War I,https://upload.wikimedia.org/wikipedia/commons/0/09/Assassination_of_Archduke_Franz_Ferdinand.jpg,28/06/1914,44.8167,20.4633
Stock Market Crash,"Beginning of the Great Depression; Wall Street collapse",https://upload.wikimedia.org/wikipedia/commons/0/0b/1929_stock_market_crash.jpg,29/10/1929,-74.0060,40.7128
Attack on Pearl Harbor,Japanese attack on U.S. naval base leading to U.S. entry into WWII,https://upload.wikimedia.org/wikipedia/commons/2/29/Pearl_Harbor_attack.jpg,07/12/1941,-157.9394,21.3546
D-Day,"Allied invasion of Normandy, pivotal in liberating France in WWII",https://upload.wikimedia.org/wikipedia/commons/a/a4/NormandyLST.jpg,06/06/1944,-0.8204,49.4144
Battle of Dien Bien Phu,Decisive battle leading to the end of French rule in Vietnam,https://upload.wikimedia.org/wikipedia/commons/f/f7/French_prisoners_after_the_battle_of_Dien_Bien_Phu.jpg,07/05/1954,103.1500,21.3833
Gulf of Tonkin Incident,"Incident that escalated U.S. involvement in the Vietnam War",https://upload.wikimedia.org/wikipedia/commons/a/a2/USS_Maddox_DD-731.jpg,02/08/1964,108.3239,16.0726
Tet Offensive,"Major North Vietnamese and Viet Cong assault during the Vietnam War",https://upload.wikimedia.org/wikipedia/commons/9/9b/TetOffensiveSaigon.jpg,30/01/1968,106.6297,10.8231
Fall of Saigon,Final battle of the Vietnam War leading to U.S. withdrawal and unification of Vietnam,https://upload.wikimedia.org/wikipedia/commons/f/f4/Fall_of_Saigon.jpg,30/04/1975,106.6297,10.8231
Hiroshima Bombing,"First atomic bomb dropped on Hiroshima by the U.S., ending WWII",https://upload.wikimedia.org/wikipedia/commons/8/87/Atomic_bombing_of_Hiroshima.jpg,06/08/1945,132.4553,34.3853
Cuban Missile Crisis,"13-day confrontation between the U.S. and the Soviet Union over nuclear missiles in Cuba",https://upload.wikimedia.org/wikipedia/commons/e/e9/President_Kennedy_addresses_the_nation_on_Cuban_missile_crisis.jpg,22/10/1962,-82.3666,23.1136
Moon Landing,First human moon landing by Apollo 11 mission,https://upload.wikimedia.org/wikipedia/commons/a/a1/Apollo_11_first_steps.jpg,20/07/1969,-23.4733,0.6731
Berlin Airlift,"Soviet blockade of West Berlin overcome by Allied airlift",https://upload.wikimedia.org/wikipedia/commons/f/f4/C-54s_unloading_at_Tempelhof_Airport_Berlin_1948.jpg,26/06/1948,13.4061,52.5206
Fall of the Berlin Wall,Symbolic end of the Cold War and East-West divide in Europe,https://upload.wikimedia.org/wikipedia/commons/f/fd/Fall_of_the_Berlin_Wall.jpg,09/11/1989,13.3762,52.5163
Indian Independence,End of British rule in India and creation of independent India and Pakistan,https://upload.wikimedia.org/wikipedia/commons/7/7f/Mahatma_Gandhi%2C_Jawaharlal_Nehru_and_Sardar_Patel.jpg,15/08/1947,77.2167,28.6667
Fall of the Soviet Union,Official dissolution of the Soviet Union and end of the Cold War,https://upload.wikimedia.org/wikipedia/commons/a/ad/RedSquareBasilCathedral.jpg,26/12/1991,37.6176,55.7558
Nelson Mandela's Release from Prison,End of apartheid era and beginning of democratic transition in South Africa,https://upload.wikimedia.org/wikipedia/commons/8/8f/Mandela_Walter_Sisulu.jpg,11/02/1990,18.4233,-33.9186
9/11 Attacks,"Terrorist attacks on the World Trade Center and the Pentagon",https://upload.wikimedia.org/wikipedia/commons/9/91/September_11_photo_montage.jpg,11/09/2001,-74.0134,40.7115
